"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id"
FALSE,FALSE,TRUE,TRUE,TRUE,"e5dbba6a0bab6282834e5a1d07c9d15c"
TRUE,TRUE,TRUE,TRUE,TRUE,"856925f916eba95f669698c572f88d93"
TRUE,TRUE,TRUE,TRUE,TRUE,"2c38d9d5742202da694d4721608fd637"
TRUE,FALSE,TRUE,TRUE,TRUE,"72558b780028629aa73abc3c75849338"
TRUE,TRUE,FALSE,FALSE,FALSE,"c5ffe048b76ae735c8e4683e34a8134c"
TRUE,FALSE,TRUE,TRUE,FALSE,"9847f89ae2ccda5bd64135242c54b4f5"
TRUE,FALSE,TRUE,TRUE,TRUE,"2e4e68a87190b21641f3a749699cbd80"
TRUE,FALSE,TRUE,TRUE,FALSE,"e4e60cbe366ef01b4f6efe1179fa3a5c"
TRUE,TRUE,TRUE,TRUE,TRUE,"f3c298b72522fa8756d13ae50332f012"
TRUE,TRUE,TRUE,TRUE,TRUE,"dc4c06e76c80792a6dd6a5170e96a392"
TRUE,FALSE,TRUE,TRUE,TRUE,"f24a2b23666d5475afca7ae94042d4fd"
TRUE,TRUE,TRUE,TRUE,TRUE,"535b3cc9e4ef58af41a4efc1cba7376d"
TRUE,FALSE,TRUE,TRUE,TRUE,"e0b2c88a33c8458d20853b6b3a64a879"
TRUE,TRUE,TRUE,TRUE,TRUE,"8515587f0a9f80afd9a9987312d67b9d"
TRUE,TRUE,TRUE,TRUE,TRUE,"09570ba2ff85bdb80111ed021c6647e2"
FALSE,TRUE,TRUE,TRUE,TRUE,"1bc82a41027d40368e10b9ed1cb7fcb6"
TRUE,TRUE,TRUE,TRUE,TRUE,"e21bd650fd5e31c3f5c12c56492d8146"
TRUE,TRUE,TRUE,TRUE,TRUE,"46ec4ed0a75b0fcf231f1e4ff262fa8d"
TRUE,TRUE,TRUE,TRUE,TRUE,"ecea07feade7f50cd5cf53cbcd63e01b"
TRUE,TRUE,TRUE,TRUE,FALSE,"03c8c55c4c3523259a6114fa2abffdf1"
TRUE,TRUE,TRUE,TRUE,TRUE,"591ce34dc0516b40b5816425c600732d"
TRUE,TRUE,TRUE,TRUE,TRUE,"6acb1c8e9ec1dcbddbeda2ffca7e53ee"
TRUE,TRUE,TRUE,TRUE,TRUE,"b2339ee5c9518a0b95176da819e0ccc5"
TRUE,TRUE,TRUE,TRUE,TRUE,"28791a195fb16e432f328fc38c217a16"
TRUE,TRUE,TRUE,TRUE,TRUE,"924d8c9600d3f00916cb328acba898ae"
TRUE,TRUE,TRUE,TRUE,FALSE,"85e0deb868996875b8c75d8c035817aa"
TRUE,TRUE,TRUE,TRUE,TRUE,"1e002095b1f95aa73df22cf53653519e"
TRUE,TRUE,TRUE,TRUE,TRUE,"483181f68a1997d8d691fc99eb4d8919"
TRUE,TRUE,TRUE,TRUE,TRUE,"20860b730ced34c41cb21fc41c9f02b2"
TRUE,TRUE,TRUE,TRUE,FALSE,"3864acdfa3f60f0374d99d823005f431"
TRUE,TRUE,TRUE,TRUE,TRUE,"de3433571b870a3b3f49bfe307718094"
TRUE,TRUE,TRUE,TRUE,TRUE,"46d179efc5684cf91a6cac9ae3743529"
TRUE,FALSE,FALSE,FALSE,TRUE,"f4cbbdb50287ea31613af5bb32f3c5dc"
TRUE,TRUE,FALSE,FALSE,TRUE,"2f0f850298558184d70a18b238d4006f"
TRUE,TRUE,TRUE,TRUE,TRUE,"9a475b184b8ab73b02c58aaa090713a6"
TRUE,TRUE,TRUE,TRUE,FALSE,"e4acf52f10af501c212738246f7258ad"
FALSE,FALSE,FALSE,TRUE,FALSE,"45e3f3f280507375f3d96c07e56be4c3"
FALSE,FALSE,FALSE,TRUE,FALSE,"47197ee817bb57421f861e8b877e0588"
TRUE,TRUE,FALSE,TRUE,FALSE,"b0ce3a4407f76fe40d761ea266b304ff"
TRUE,FALSE,TRUE,TRUE,TRUE,"5dac0955f00d983d7557e718591f0f42"
FALSE,TRUE,FALSE,FALSE,TRUE,"e989ed7bbae4c1e3fb07cd2565c44b4d"
TRUE,TRUE,TRUE,TRUE,TRUE,"65c9fb2233a8c0d21e99ba69d13d1e6d"
TRUE,TRUE,TRUE,TRUE,TRUE,"fbd93ad01ba4ba32e9342f684aa418ce"
TRUE,TRUE,TRUE,TRUE,TRUE,"6f95ee027789af1674fcb8cb890b2f82"
TRUE,FALSE,TRUE,TRUE,TRUE,"515ecf421a951bc274a7daaa791dc894"
TRUE,TRUE,TRUE,TRUE,TRUE,"4f72d9a4983c0ad6b70a1e9a6a4d7d81"
TRUE,TRUE,FALSE,FALSE,FALSE,"9ec2342b857fb229829737257e12012b"
TRUE,FALSE,FALSE,FALSE,FALSE,"aa57923408765fc46bc15cbeaa7491a6"
TRUE,FALSE,TRUE,TRUE,FALSE,"97402210ae7735706d9a9a42b71b8fda"
FALSE,TRUE,TRUE,FALSE,FALSE,"dc4c78ea545f20f98ae1db94f4a088bf"
TRUE,TRUE,TRUE,TRUE,FALSE,"1b5f84de8f1ac02d81de16f9b8ae2d0e"
FALSE,TRUE,FALSE,FALSE,FALSE,"806198a51c28a0e3cbb56fd6251ea18e"
TRUE,TRUE,TRUE,TRUE,TRUE,"5325c97ed1a497a5a586815b59aed735"
FALSE,FALSE,TRUE,TRUE,TRUE,"4748e8a42d43b5abde091a50264f9a92"
TRUE,TRUE,TRUE,TRUE,TRUE,"443fb2d16fc7d839c24c5a7a7826dec6"
TRUE,TRUE,TRUE,TRUE,TRUE,"7cefc409ff8f24417f6cd3c8b4264454"
FALSE,TRUE,TRUE,FALSE,TRUE,"161fd0eebe56f2797b8019afd95154b6"
TRUE,TRUE,TRUE,TRUE,TRUE,"dbd19c916ab439c7cf29b0f23f65d732"
TRUE,FALSE,TRUE,TRUE,TRUE,"873b0b68e099323e1d2ca5d17606a11d"
TRUE,FALSE,TRUE,TRUE,FALSE,"c123804c63e25b6390ad734e64c31e6c"
TRUE,TRUE,TRUE,TRUE,TRUE,"f889bb2bb25f73012084bb11ae950a17"
TRUE,FALSE,TRUE,TRUE,TRUE,"f5f63b20073a5689ec99521de809cfa9"
TRUE,TRUE,TRUE,TRUE,TRUE,"8ee50f566aa1568f7f2803598aebbf7b"
TRUE,TRUE,TRUE,TRUE,TRUE,"2bec1063c452ea81ad6d1f8ea021d50d"
TRUE,TRUE,TRUE,TRUE,TRUE,"ad4f149d32f95e9db8da112d6c29f733"
TRUE,FALSE,FALSE,FALSE,FALSE,"041a808460c3e20eb708113a5ae6533d"
TRUE,TRUE,TRUE,TRUE,TRUE,"f88845e22ed4975c40c05e8f527554b3"
TRUE,TRUE,TRUE,TRUE,TRUE,"73664aa4932bcfe5379274e489d0bf1c"
TRUE,TRUE,TRUE,TRUE,TRUE,"8c78f224069832cd7fd7e9efcf616ab9"
TRUE,TRUE,TRUE,TRUE,TRUE,"13b8688bc0b096a8da1566d3bb25a9db"
TRUE,TRUE,TRUE,TRUE,TRUE,"c3ea8ca703aa33759573fbc67dc229f8"
TRUE,TRUE,TRUE,TRUE,TRUE,"cae8c4906ce36b7ac19de135348de57c"
TRUE,TRUE,TRUE,TRUE,TRUE,"0de497e4baa9d071845afc073d10fba6"
TRUE,TRUE,TRUE,TRUE,TRUE,"a1d949f27725f089c27c233027c5f692"
TRUE,TRUE,TRUE,TRUE,FALSE,"a8ebe6695f3741b63f135708fa4c894d"
TRUE,TRUE,FALSE,FALSE,FALSE,"78f43f7e335424a99400a11453add8ab"
TRUE,TRUE,FALSE,FALSE,FALSE,"33a077fde7c403e6b08c5b967e3df0a1"
TRUE,TRUE,TRUE,TRUE,TRUE,"daca34875367c76ab8b8452940d60fdf"
TRUE,TRUE,TRUE,TRUE,TRUE,"12785285f560428e7712a229516afc72"
TRUE,TRUE,TRUE,TRUE,TRUE,"ff504d3b0053fb086a310fe1189dae61"
TRUE,TRUE,TRUE,TRUE,TRUE,"6aece20d72ee0fc101d61af1126af807"
TRUE,TRUE,TRUE,TRUE,TRUE,"0df52bde0ac287bb20a6c5a9a66201f2"
TRUE,TRUE,TRUE,TRUE,TRUE,"7fa7b144be48140dc17c7d00c182ecfd"
TRUE,TRUE,TRUE,TRUE,TRUE,"57ee9afd1711ce2c72ecaa9fb7fbb227"
TRUE,FALSE,TRUE,TRUE,FALSE,"d5182ced8c99f225e15586846ff38261"
TRUE,TRUE,TRUE,TRUE,TRUE,"e0876fdc859fbde36bb97a3ee6893fc5"
TRUE,TRUE,TRUE,TRUE,TRUE,"2dd56ef5e3ce38cc66e9be9295315c84"
TRUE,TRUE,TRUE,TRUE,TRUE,"04ae6d4e93605dc0fd87868b6069bbbf"
TRUE,FALSE,FALSE,TRUE,TRUE,"322226425f360c66e48a6c6f09454fc5"
TRUE,TRUE,TRUE,TRUE,TRUE,"8b0d7ca68dcb5662e2963b9f16ec340d"
TRUE,TRUE,TRUE,TRUE,TRUE,"86b7bd559e2a7a504e5ad648ede3f35e"
TRUE,TRUE,TRUE,TRUE,TRUE,"524dee501907f248afb725432266eacd"
TRUE,TRUE,TRUE,TRUE,TRUE,"996a85f5800dfb9aaf2dcdf11be163c2"
TRUE,TRUE,TRUE,TRUE,TRUE,"a2ce59d76bfbd2adde86ea2b42a42286"
TRUE,TRUE,TRUE,TRUE,TRUE,"a62c5d87be964e4aabc24e9f015d882b"
TRUE,TRUE,TRUE,TRUE,TRUE,"2a5a24bbb0b5d0a9883d4ea6e4264f9e"
TRUE,TRUE,TRUE,TRUE,TRUE,"e352ef2edd5a7c02ebf93ed1a2794986"
FALSE,FALSE,TRUE,TRUE,FALSE,"1d0abfc6a6f0d994f033d719aba9e4f1"
TRUE,TRUE,TRUE,TRUE,TRUE,"c5566cb427ac54fd84480feba84af386"
TRUE,TRUE,TRUE,TRUE,TRUE,"a5689c670e236a3f052e45e9fd96dd30"
TRUE,TRUE,TRUE,TRUE,TRUE,"300e32a76af4a9728ef143a4761469e9"
